itemKey,displayName,className,blueprintPath,gfiCode,category,sourceType,sourceModId,sourceModName,sourcePackagePath,assetPath,spawnCommand,stackSize,weight,itemId,engramClassName,craftingStation,serverReferenced,serverConfigReferences,sourceEvidence,enrichmentSources,confidence,notes
/game/primalearth/coreblueprints/weapons/primalitemammo_advancedbullet.primalitemammo_advancedbullet,Advanced Bullet,PrimalItemAmmo_AdvancedBullet_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AdvancedBullet.PrimalItemAmmo_AdvancedBullet',AdvancedBullet,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AdvancedBullet.PrimalItemAmmo_AdvancedBullet'"" 1 0 0",100,0.1,,EngramEntry_AdvancedBullet_C,,true,"crafting cost override; crafting cost override target; generic item reference (Game.ini lines 42, 508, 509, 512, 514, 515, 519, 520, ...); engram override (Game.ini)",wiki; config,https://ark.wiki.gg/wiki/Advanced_Bullet; https://ark.wiki.gg/wiki/Special:CargoTables/Items,medium,
/game/primalearth/coreblueprints/weapons/primalitemammo_advancedriflebullet.primalitemammo_advancedriflebullet,Advanced Rifle Bullet,PrimalItemAmmo_AdvancedRifleBullet_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AdvancedRifleBullet.PrimalItemAmmo_AdvancedRifleBullet',AdvancedRifleBullet,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AdvancedRifleBullet.PrimalItemAmmo_AdvancedRifleBullet'"" 1 0 0",100,0.1,,EngramEntry_AdvancedRifleBullet_C,,true,"crafting cost override; crafting cost override target; generic item reference (Game.ini lines 43, 508, 509, 511, 512, 515, 521, 522, ...); engram override (Game.ini)",wiki; config,https://ark.wiki.gg/wiki/Advanced_Rifle_Bullet; https://ark.wiki.gg/wiki/Special:CargoTables/Items,medium,
/game/primalearth/coreblueprints/weapons/primalitemammo_advancedsniperbullet.primalitemammo_advancedsniperbullet,Advanced Sniper Bullet,PrimalItemAmmo_AdvancedSniperBullet_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AdvancedSniperBullet.PrimalItemAmmo_AdvancedSniperBullet',AdvancedSniperBullet,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_AdvancedSniperBullet.PrimalItemAmmo_AdvancedSniperBullet'"" 1 0 0",100,0.2,,EngramEntry_AdvancedSniperBullet_C,,true,"crafting cost override; crafting cost override target; generic item reference (Game.ini lines 44, 508, 509, 511, 512, 515, 521, 523, ...); engram override (Game.ini)",wiki; config,https://ark.wiki.gg/wiki/Advanced_Sniper_Bullet; https://ark.wiki.gg/wiki/Special:CargoTables/Items,medium,
/game/primalearth/coreblueprints/weapons/primalitemammo_boulder.primalitemammo_boulder,Boulder,PrimalItemAmmo_Boulder_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_Boulder.PrimalItemAmmo_Boulder',Boulder,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_Boulder.PrimalItemAmmo_Boulder'"" 1 0 0",100,1.5,,,,false,,wiki,https://ark.wiki.gg/wiki/Boulder; https://ark.wiki.gg/wiki/Special:CargoTables/Items,medium,
/game/primalearth/coreblueprints/weapons/primalitemammo_cannonball.primalitemammo_cannonball,Cannon Ball,PrimalItemAmmo_CannonBall_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_CannonBall.PrimalItemAmmo_CannonBall',CannonBall,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_CannonBall.PrimalItemAmmo_CannonBall'"" 1 0 0",1,20,,EngramEntry_CannonBall_C,,true,engram override (Game.ini),wiki; config,https://ark.wiki.gg/wiki/Cannon_Ball; https://ark.wiki.gg/wiki/Special:CargoTables/Items,medium,
/game/extinction/coreblueprints/weapons/primalitemammo_cannonshell.primalitemammo_cannonshell,Cannon Shell,PrimalItemAmmo_CannonShell_C,Blueprint'/Game/Extinction/CoreBlueprints/Weapons/PrimalItemAmmo_CannonShell.PrimalItemAmmo_CannonShell',CannonShell,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/Extinction/CoreBlueprints/Weapons/PrimalItemAmmo_CannonShell.PrimalItemAmmo_CannonShell'"" 1 0 0",1,15,,,,false,,wiki,https://ark.wiki.gg/wiki/Cannon_Shell; https://ark.wiki.gg/wiki/Special:CargoTables/Items,medium,
/game/primalearth/coreblueprints/weapons/primalitemammo_chainbola.primalitemammo_chainbola,Chain Bola,PrimalItemAmmo_ChainBola_C,Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_ChainBola.PrimalItemAmmo_ChainBola',ChainBola,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Weapons/PrimalItemAmmo_ChainBola.PrimalItemAmmo_ChainBola'"" 1 0 0",20,20,,EngramEntry_ChainBola_C,,true,engram override (Game.ini),wiki; config,https://ark.wiki.gg/wiki/Chain_Bola; https://ark.wiki.gg/wiki/Special:CargoTables/Items,medium,
/game/scorchedearth/weaponclustergrenade/primalitem_weaponclustergrenade.primalitem_weaponclustergrenade,Cluster Grenade,PrimalItem_WeaponClusterGrenade_C,Blueprint'/Game/ScorchedEarth/WeaponClusterGrenade/PrimalItem_WeaponClusterGrenade.PrimalItem_WeaponClusterGrenade',onClusterGrenade,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/ScorchedEarth/WeaponClusterGrenade/PrimalItem_WeaponClusterGrenade.PrimalItem_WeaponClusterGrenade'"" 1 0 0",100,0.55,,,,true,"generic item reference (Game.ini lines 534, 535, 538, 539)",wiki; config,https://ark.wiki.gg/wiki/Cluster_Grenade; https://ark.wiki.gg/wiki/Special:CargoTables/Items,medium,
/game/abyss/coreblueprints/resources/primalitemammo_dippingnet.primalitemammo_dippingnet,Dipping Net (Ammo),PrimalItemAmmo_DippingNet_C,Blueprint'/Game/Abyss/CoreBlueprints/Resources/PrimalItemAmmo_DippingNet.PrimalItemAmmo_DippingNet',DippingNet,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/Abyss/CoreBlueprints/Resources/PrimalItemAmmo_DippingNet.PrimalItemAmmo_DippingNet'"" 1 0 0",100,0.05,,,,false,,wiki,https://ark.wiki.gg/wiki/Dipping_Net_(Ammo); https://ark.wiki.gg/wiki/Special:CargoTables/Items,low,Wiki-only row with unclear ASA/server specificity.
/game/packs/wasteland/weapons/antifiregrenade/primalitem_antifiregrenade.primalitem_antifiregrenade,Extinguisher Grenade,PrimalItem_AntifireGrenade_C,Blueprint'/Game/Packs/Wasteland/Weapons/AntiFireGrenade/PrimalItem_AntifireGrenade.PrimalItem_AntifireGrenade',AntifireGrenade,Ammo,base-game,,,,,"cheat GiveItem ""Blueprint'/Game/Packs/Wasteland/Weapons/AntiFireGrenade/PrimalItem_AntifireGrenade.PrimalItem_AntifireGrenade'"" 1 0 0",10,0.5,,,,false,,wiki,https://ark.wiki.gg/wiki/Extinguisher_Grenade; https://ark.wiki.gg/wiki/Special:CargoTables/Items,low,Wiki-only row with unclear ASA/server specificity.
