itemKey,displayName,className,sourceType,sourceModId,sourceModName,iconStatus,iconLocalPath,iconSource,iconMethod,iconUrl,iconTexturePath,iconConfidence,iconWidth,iconHeight,packageStatus,wikiStatus,notes
/game/primalearth/coreblueprints/weapons/primalitemammo_advancedbullet.primalitemammo_advancedbullet,Advanced Bullet,PrimalItemAmmo_AdvancedBullet_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_AdvancedBullet_C-2bf52c6b40.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/Bullet1_Icon.Bullet1_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_advancedriflebullet.primalitemammo_advancedriflebullet,Advanced Rifle Bullet,PrimalItemAmmo_AdvancedRifleBullet_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_AdvancedRifleBullet_C-02f7233ec4.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/Bullet2_Icon.Bullet2_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_advancedsniperbullet.primalitemammo_advancedsniperbullet,Advanced Sniper Bullet,PrimalItemAmmo_AdvancedSniperBullet_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_AdvancedSniperBullet_C-ba0fc4c3c3.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/Bullet6_Icon.Bullet6_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_boulder.primalitemammo_boulder,Boulder,PrimalItemAmmo_Boulder_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_Boulder_C-56f77181a6.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/CatapultAmmo_Icon.CatapultAmmo_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_cannonball.primalitemammo_cannonball,Cannon Ball,PrimalItemAmmo_CannonBall_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_CannonBall_C-9d1db402b4.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/Cannonball_Icon.Cannonball_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/extinction/coreblueprints/weapons/primalitemammo_cannonshell.primalitemammo_cannonshell,Cannon Shell,PrimalItemAmmo_CannonShell_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_CannonShell_C-629d6ce8f8.png,package,jit-soft-texture,,/Game/Extinction/Icons/Weapons/MekCannonAmmo_Icon.MekCannonAmmo_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_chainbola.primalitemammo_chainbola,Chain Bola,PrimalItemAmmo_ChainBola_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_ChainBola_C-8aa8b26f4e.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/MetalBola_Icon.MetalBola_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/scorchedearth/weaponclustergrenade/primalitem_weaponclustergrenade.primalitem_weaponclustergrenade,Cluster Grenade,PrimalItem_WeaponClusterGrenade_C,base-game,,,resolved,item-icons/package/PrimalItem_WeaponClusterGrenade_C-d75892e01b.png,package,jit-soft-texture,,/Game/ScorchedEarth/Icons/Weapons/ClusterGrenade_Icon.ClusterGrenade_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/abyss/coreblueprints/resources/primalitemammo_dippingnet.primalitemammo_dippingnet,Dipping Net (Ammo),PrimalItemAmmo_DippingNet_C,base-game,,,resolved,item-icons/wiki/PrimalItemAmmo_DippingNet_C-01a9bed096.png,wiki,wiki-file,https://ark.wiki.gg/images/Dipping_Net_%28Ammo%29.png?83af2d,,0.7,256,256,missing,resolved,File:Dipping Net (Ammo).png
/game/packs/wasteland/weapons/antifiregrenade/primalitem_antifiregrenade.primalitem_antifiregrenade,Extinguisher Grenade,PrimalItem_AntifireGrenade_C,base-game,,,resolved,item-icons/package/PrimalItem_AntifireGrenade_C-9be9a0bb33.png,package,jit-soft-texture,,/Game/Packs/Wasteland/Weapons/ExtinguisherGrenade/HUD_ExtinguisherGrenade_Icon.HUD_ExtinguisherGrenade_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/mods/primitiveplusmod/items/weapons/primalitemammo_arrowstone_feathered.primalitemammo_arrowstone_feathered,Feathered Stone Arrow (Primitive Plus),PrimalItemAmmo_ArrowStone_Feathered_C,base-game,,,resolved,item-icons/wiki/PrimalItemAmmo_ArrowStone_Feathered_C-3f56b9d768.png,wiki,wiki-file,https://ark.wiki.gg/images/Feathered_Stone_Arrow_%28Primitive_Plus%29.png?5d298b,,0.7,256,256,missing,resolved,File:Feathered Stone Arrow (Primitive Plus).png
/game/primalearth/coreblueprints/weapons/primalitemammo_arrowflame.primalitemammo_arrowflame,Flame Arrow,PrimalItemAmmo_ArrowFlame_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_ArrowFlame_C-d81ddc8276.png,package,jit-soft-texture,,/Game/ScorchedEarth/Icons/Weapons/FireArrow_Icon.FireArrow_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/mods/primitiveplusmod/items/weapons/primalitemammo_arrowflaming.primalitemammo_arrowflaming,Flame Arrow (Primitive Plus),PrimalItemAmmo_ArrowFlaming_C,base-game,,,resolved,item-icons/wiki/PrimalItemAmmo_ArrowFlaming_C-d1b9a602f0.png,wiki,wiki-file,https://ark.wiki.gg/images/Flame_Arrow.png?8f112d,,0.7,256,256,missing,resolved,File:Flame Arrow (Primitive Plus).png
/game/scorchedearth/weaponflamethrower/primalitemammo_flamethrower.primalitemammo_flamethrower,Flamethrower Ammo,PrimalItemAmmo_Flamethrower_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_Flamethrower_C-f039cc20fe.png,package,jit-soft-texture,,/Game/ScorchedEarth/Icons/Weapons/FlamethrowerAmmo_Icon.FlamethrowerAmmo_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_grapplinghook.primalitemammo_grapplinghook,Grappling Hook,PrimalItemAmmo_GrapplingHook_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_GrapplingHook_C-2510864224.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Items/Armor/Icons/GrappleHook_Icon.GrappleHook_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitem_weapongrenade.primalitem_weapongrenade,Grenade,PrimalItem_WeaponGrenade_C,base-game,,,resolved,item-icons/package/PrimalItem_WeaponGrenade_C-f3923b91fa.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/Grenade_Icon.Grenade_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/genesis2/weapons/fireboulder/primalitemammo_boulder_fire.primalitemammo_boulder_fire,Jar of Pitch,PrimalItemAmmo_Boulder_Fire_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_Boulder_Fire_C-0a285cd9a8.png,package,jit-soft-texture,,/Game/Genesis2/Icons/Items/HUD_Gen2_FlamingAmmo_Icon.HUD_Gen2_FlamingAmmo_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_compoundbowarrow.primalitemammo_compoundbowarrow,Metal Arrow,PrimalItemAmmo_CompoundBowArrow_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_CompoundBowArrow_C-f6d6f3dc9d.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/MetalArrow_Icon.MetalArrow_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
wiki:mobile:dodo-arrow,Mobile:Dodo Arrow,,base-game,,,resolved,item-icons/wiki/Mobile-Dodo_Arrow-373ba52b2a.png,wiki,wiki-file,https://ark.wiki.gg/images/Mobile_Dodo_Arrow.png?70fbdb,,0.7,256,256,not-attempted,resolved,File:Mobile Dodo Arrow.png
wiki:mobile:toxicant-arrow,Mobile:Toxicant Arrow,,base-game,,,resolved,item-icons/wiki/Mobile-Toxicant_Arrow-e8bb6f1226.png,wiki,wiki-file,https://ark.wiki.gg/images/Mobile_Toxicant_Arrow.png?cf32cc,,0.7,256,256,not-attempted,resolved,File:Mobile Toxicant Arrow.png
/game/genesis2/weapons/netammo/primalitemammo_arrownet.primalitemammo_arrownet,Net Projectile,PrimalItemAmmo_ArrowNet_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_ArrowNet_C-421ae52136.png,package,jit-soft-texture,,/Game/Genesis2/Icons/Items/HUD_Gen2_NetAmmo_Icon.HUD_Gen2_NetAmmo_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/mods/primitiveplusmod/items/weapons/primalitemammo_arrowobsi.primalitemammo_arrowobsi,Obsidian Arrow (Primitive Plus),PrimalItemAmmo_ArrowObsi_C,base-game,,,resolved,item-icons/wiki/PrimalItemAmmo_ArrowObsi_C-2138785a1e.png,wiki,wiki-file,https://ark.wiki.gg/images/Obsidian_Arrow_%28Primitive_Plus%29.png?4ac1aa,,0.7,256,256,missing,resolved,File:Obsidian Arrow.png
/game/primalearth/coreblueprints/weapons/primalitemammo_aggrotranqdart.primalitemammo_aggrotranqdart,Pheromone Dart,PrimalItemAmmo_AggroTranqDart_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_AggroTranqDart_C-4a85e053bb.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/TranqDart3_Icon.TranqDart3_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/aberration/weaponplantspeciesz/primalitem_plantspeciesz_grenade.primalitem_plantspeciesz_grenade,Plant Species Z Fruit,PrimalItem_PlantSpeciesZ_Grenade_C,base-game,,,resolved,item-icons/package/PrimalItem_PlantSpeciesZ_Grenade_C-5a884e351d.png,package,jit-soft-texture,,/Game/Aberration/Icons/Plants/PlantZ_Fruit_Icon.PlantZ_Fruit_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/scorchedearth/weaponhomingmissile/primalitemammo_rockethomingmissile.primalitemammo_rockethomingmissile,Rocket Homing Missile,PrimalItemAmmo_RocketHomingMissile_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_RocketHomingMissile_C-6ab6e867ea.png,package,jit-soft-texture,,/Game/ScorchedEarth/Icons/Weapons/HomingMissileAmmo_Icon.HomingMissileAmmo_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitem_weaponrocketlauncher.primalitem_weaponrocketlauncher,Rocket Launcher,PrimalItem_WeaponRocketLauncher_C,base-game,,,resolved,item-icons/package/PrimalItem_WeaponRocketLauncher_C-79d29704fd.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/RocketLauncher_Icon.RocketLauncher_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_rocket.primalitemammo_rocket,Rocket Propelled Grenade,PrimalItemAmmo_Rocket_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_Rocket_C-1b1a017ec0.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/RocketLauncherAmmo_Icon.RocketLauncherAmmo_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/items/structures/misc/primalitemstructure_turretrocket.primalitemstructure_turretrocket,Rocket Turret,PrimalItemStructure_TurretRocket_C,base-game,,,resolved,item-icons/package/PrimalItemStructure_TurretRocket_C-da96082d45.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Items/Structures/Icons/MountedRocketTurret_Icon.MountedRocketTurret_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_refinedtranqdart.primalitemammo_refinedtranqdart,Shocking Tranquilizer Dart,PrimalItemAmmo_RefinedTranqDart_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_RefinedTranqDart_C-34993e99d5.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/TranqDart2_Icon.TranqDart2_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_simplebullet.primalitemammo_simplebullet,Simple Bullet,PrimalItemAmmo_SimpleBullet_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_SimpleBullet_C-5833e3f3df.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/Bullet4_Icon.Bullet4_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_simpleriflebullet.primalitemammo_simpleriflebullet,Simple Rifle Ammo,PrimalItemAmmo_SimpleRifleBullet_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_SimpleRifleBullet_C-3e71bf99d5.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/Bullet3_Icon.Bullet3_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
/game/primalearth/coreblueprints/weapons/primalitemammo_simpleshotgunbullet.primalitemammo_simpleshotgunbullet,Simple Shotgun Ammo,PrimalItemAmmo_SimpleShotgunBullet_C,base-game,,,resolved,item-icons/package/PrimalItemAmmo_SimpleShotgunBullet_C-f282ad7e7e.png,package,jit-soft-texture,,/Game/PrimalEarth/CoreBlueprints/Weapons/Icons/Bullet5_Icon.Bullet5_Icon,1,256,256,resolved,not-attempted,ItemIconJIT.SoftTexture
